question,answer
What clothes do you sell?,"We sell shirts, T-shirts, jeans, trousers, dresses, jackets, and other fashion clothing."
How can I place an order?,"You can place an order by telling us the product name, size, color, and quantity."
What sizes are available?,"We usually offer sizes XS, S, M, L, XL, and XXL, depending on the product."
What colors are available?,Available colors depend on the product. Please tell us the product name to check the available colors.
Can I order more than one item?,"Yes, you can order multiple items in the same order."
How do I choose my size?,"Please check the size chart provided for the product. If you are unsure, contact us for help."
Can I change my order after placing it?,"Yes, you can request a change before the order is shipped."
Can I cancel my order?,"Yes, you can request cancellation before the order is shipped."
What payment methods do you accept?,We accept online payment methods and other payment options available at checkout.
Do you offer cash on delivery?,Cash on delivery may be available for selected locations and products.
How much is the delivery charge?,Delivery charges depend on your location and order value.
How long does delivery take?,"Orders are generally delivered within 3 to 7 business days, depending on the location."
Can I track my order?,"Yes, once your order is shipped, we will provide a tracking number."
Do you offer returns?,"Yes, eligible clothing items can be returned according to our return policy."
Can I exchange a product for another size?,"Yes, size exchanges are available for eligible products, subject to stock availability."
What should I do if I receive a damaged product?,Please contact customer support as soon as possible with your order details and photos of the damaged item.
Can I return a product after wearing it?,"Returned clothing should generally be unused, unwashed, and have its original tags attached."
Do you have discounts or offers?,"Yes, we may offer discounts and special deals from time to time."
Can I order clothes as a gift?,"Yes, you can order clothes as a gift and provide the recipient's delivery details."
How can I contact customer support?,You can contact customer support through the support section of our store or by providing your order details.
